"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","ZFS.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\FS\ZFS.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"10","10","The cmdlet 'Invoke-ScapeTargetedParsing' does not have a help comment.","Invoke-ScapeTargetedParsing","PSProvideCommentHelp","Information","Core.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Analysis\Parser\Core.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"13","10","The cmdlet 'Register-ScapeActionHandler' does not have a help comment.","Register-ScapeActionHandler","PSProvideCommentHelp","Information","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"24","10","The cmdlet 'Get-ScapeActionHandler' does not have a help comment.","Get-ScapeActionHandler","PSProvideCommentHelp","Information","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"33","10","The cmdlet 'Publish-ScapeActionProgress' does not have a help comment.","Publish-ScapeActionProgress","PSProvideCommentHelp","Information","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"84","10","The cmdlet 'Invoke-ScapeActionDispatcher' does not have a help comment.","Invoke-ScapeActionDispatcher","PSProvideCommentHelp","Information","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"160","10","The cmdlet 'Resolve-ScapeActiveTarget' does not have a help comment.","Resolve-ScapeActiveTarget","PSProvideCommentHelp","Information","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"211","10","The cmdlet 'Publish-ScapeTreeUpdate' does not have a help comment.","Publish-ScapeTreeUpdate","PSProvideCommentHelp","Information","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"227","10","The cmdlet 'Invoke-ScapeProgressWrapper' does not have a help comment.","Invoke-ScapeProgressWrapper","PSProvideCommentHelp","Information","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"91","17","The parameter 'MenuId' has been declared but not used.","$MenuId","PSReviewUnusedParameter","Warning","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1","MenuId",,"False"
"92","14","The parameter 'Cursor' has been declared but not used.","$Cursor","PSReviewUnusedParameter","Warning","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1","Cursor",,"False"
"264","18","The parameter 'PayloadDef' has been declared but not used.","$PayloadDef","PSReviewUnusedParameter","Warning","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1","PayloadDef",,"False"
"264","31","The parameter 'Target' has been declared but not used.","$Target","PSReviewUnusedParameter","Warning","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1","Target",,"False"
"269","18","The parameter 'PayloadDef' has been declared but not used.","$PayloadDef","PSReviewUnusedParameter","Warning","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1","PayloadDef",,"False"
"269","31","The parameter 'Target' has been declared but not used.","$Target","PSReviewUnusedParameter","Warning","ActionManager.psm1","C:\Users\danie\SCAPE_ROOT\Modules\Core\ActionManager.psm1","Target",,"False"
